date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,1785.5,1818,1771,1804.2,148279
2022-01-04 00:00:00+05:30,1812,1834.8,1787.1,1821.85,172982
2022-01-05 00:00:00+05:30,1825,1828,1792.65,1805.85,159386
2022-01-06 00:00:00+05:30,1796,1796,1761.5,1775.75,112890
2022-01-07 00:00:00+05:30,1785,1790,1755.25,1772.15,127145
2022-01-10 00:00:00+05:30,1786,1833,1778.35,1813.25,174833
2022-01-11 00:00:00+05:30,1816.8,1878.75,1792.9,1864.25,260687
2022-01-12 00:00:00+05:30,1884,1935.6,1872,1877.1,554973
2022-01-13 00:00:00+05:30,1892.15,1918.95,1864.95,1910.55,260447
2022-01-14 00:00:00+05:30,1909.7,1909.7,1875,1890.9,158017
2022-01-17 00:00:00+05:30,1895,1898.3,1799.35,1867.6,123808
2022-01-18 00:00:00+05:30,1869.5,1886.7,1830.3,1838.7,125513
2022-01-19 00:00:00+05:30,1823,1848.9,1790,1819.95,145847
2022-01-20 00:00:00+05:30,1823.8,1836,1805,1819.35,74795
2022-01-21 00:00:00+05:30,1815,1847.95,1762.05,1788.95,130721
2022-01-24 00:00:00+05:30,1788,1788,1592.25,1619.55,396834
2022-01-25 00:00:00+05:30,1576,1603.85,1525,1567.85,502550
2022-01-27 00:00:00+05:30,1568.15,1568.15,1480,1495.55,364531
2022-01-28 00:00:00+05:30,1574,1696.7,1563.5,1609.2,2021202
2022-01-31 00:00:00+05:30,1648,1823,1648,1796.4,1530523
2022-02-01 00:00:00+05:30,1815.4,1888.9,1773.05,1825.6,1147952
2022-02-02 00:00:00+05:30,1842.4,1864.7,1820,1835.95,265263
2022-02-03 00:00:00+05:30,1836.5,1840,1793.65,1804.9,150232
2022-02-04 00:00:00+05:30,1802,1839.55,1790,1796.35,203021
2022-02-07 00:00:00+05:30,1795,1795,1745,1755.15,105474
2022-02-08 00:00:00+05:30,1761,1773,1703.1,1730.65,99718
2022-02-09 00:00:00+05:30,1733.75,1756,1721,1731.6,59434
2022-02-10 00:00:00+05:30,1747,1779,1723,1751.4,90457
2022-02-11 00:00:00+05:30,1734,1734,1665,1673.5,126856
2022-02-14 00:00:00+05:30,1582,1650,1580.5,1590.5,142469
2022-02-15 00:00:00+05:30,1615,1650,1552.7,1615.4,213032
2022-02-16 00:00:00+05:30,1647,1671.55,1596.9,1600.95,186574
2022-02-17 00:00:00+05:30,1610,1615.55,1560.6,1569.7,106804
2022-02-18 00:00:00+05:30,1565,1565,1514.05,1518.2,180082
2022-02-21 00:00:00+05:30,1510,1565.05,1474,1495.1,360397
2022-02-22 00:00:00+05:30,1450,1531,1432.9,1499.65,279077
2022-02-23 00:00:00+05:30,1512,1548,1480,1489.05,238662
2022-02-24 00:00:00+05:30,1450,1475,1395,1420.75,284895
2022-02-25 00:00:00+05:30,1475,1500,1423,1446.9,248864
2022-02-28 00:00:00+05:30,1425,1505,1405.25,1487.05,306355
2022-03-02 00:00:00+05:30,1487,1542,1483.05,1509.8,243601
2022-03-03 00:00:00+05:30,1542,1568,1523.1,1532.9,188258
2022-03-04 00:00:00+05:30,1520,1551.95,1495.5,1535.3,128528
2022-03-07 00:00:00+05:30,1487,1539.7,1487,1524.7,107331
2022-03-08 00:00:00+05:30,1544,1575,1520.05,1567.05,136344
2022-03-09 00:00:00+05:30,1577.4,1632.05,1562.15,1616.55,153573
2022-03-10 00:00:00+05:30,1670,1688.8,1627.1,1638.65,164009
2022-03-11 00:00:00+05:30,1644,1674.5,1605.95,1612.55,137583
2022-03-14 00:00:00+05:30,1614,1630,1592.95,1597.9,116763
2022-03-15 00:00:00+05:30,1600.05,1613.95,1542,1544.95,113835
2022-03-16 00:00:00+05:30,1575.7,1575.7,1545,1548.2,122892
2022-03-17 00:00:00+05:30,1579,1582.8,1522,1555.45,723661
2022-03-21 00:00:00+05:30,1560.3,1633.95,1550.05,1559.1,376684
2022-03-22 00:00:00+05:30,1574.8,1579,1547.3,1561.65,174026
2022-03-23 00:00:00+05:30,1574.95,1582.6,1540.7,1545.2,142654
2022-03-24 00:00:00+05:30,1541,1542,1501.1,1520.4,156130
2022-03-25 00:00:00+05:30,1525,1560,1525,1535.75,147425
2022-03-28 00:00:00+05:30,1539,1543.9,1488,1499.25,186918
2022-03-29 00:00:00+05:30,1514.4,1518,1488,1492,194617
2022-03-30 00:00:00+05:30,1517.2,1569,1504.5,1549.85,357350
2022-03-31 00:00:00+05:30,1563,1598.95,1536.55,1542.3,354482
2022-04-01 00:00:00+05:30,1545,1592.6,1545,1566.4,206474
2022-04-04 00:00:00+05:30,1580.9,1597,1563,1584.05,136264
2022-04-05 00:00:00+05:30,1603.7,1624.05,1579,1607.45,183884
2022-04-06 00:00:00+05:30,1601,1624.25,1585.3,1612.75,217447
2022-04-07 00:00:00+05:30,1628,1628,1585,1591.85,153162
2022-04-08 00:00:00+05:30,1605,1620,1595,1606.35,136859
